school_name,school_level,class_code,campus_id,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,Mezzanine
MCBEE,Elementary School,ELEM,165,,MCBEE ES.svg,,,,
MCCALLUM,High School,HIGH,005,,MCCALLUM HS.svg,,,,
MENCHACA,Elementary School,ELEM,147,,MENCHACA ES.svg,,,,
MENDEZ,Middle School,MID,058,,MENDEZ MS.svg,,,,
MILLS,Elementary School,ELEM,181,,MILLS ES.svg,,,,
MURCHISON,Middle School,MID,052,,MURCHISON MS.svg,,,,
NAVARRO,High School,HIGH,004,,NAVARRO HS.svg,,,,
NAVARRO GPA,Alternative Education,ALT ED 1,026,,NAVARRO GPA ALT.svg,,,,
NELSON BUS,District Facility,DISTRICT,959,,NELSON BUS DIST.svg,,,,
NELSON FIELD,Athletic Facility,ATHLETIC,281,,NELSON FIELD ATH.svg,,,,
NOACK SPORTS,Athletic Facility,ATHLETIC,950,,NOACK SPORTS ATH.svg,,,,
NORMAN-SIMS,Elementary School,ELEM,150,,NORMAN-SIMS ES.svg,,,,
NORTHEAST/INTERNATIONAL,High School,HIGH,006,,NORTHEAST/INTERNATIONAL HS.svg,,,,
O HENRY,Middle School,MID,047,,O HENRY MS.svg,,,,
OAK HILL,Elementary School,ELEM,148,,OAK HILL ES.svg,,,,
OAK SPRINGS,Elementary School,ELEM,125,,OAK SPRINGS ES.svg,,,,
ODOM,Elementary School,ELEM,156,,ODOM ES.svg,,,,
ORTEGA,Elementary School,ELEM,126,,ORTEGA ES.svg,,,,
OVERTON,Elementary School,ELEM,189,,OVERTON ES.svg,,,,
PAC,District Facility,DISTRICT,954,,PAC DIST.svg,,,,
PADRON,Elementary School,ELEM,188,,PADRON ES L1.svg,PADRON ES L2.svg,,,
PALM,Elementary School,ELEM,171,,PALM ES.svg,,,,
PAREDES,Middle School,MID,061,,PAREDES MS.svg,,,,
PATTON,Elementary School,ELEM,143,,PATTON ES.svg,,,,
PECAN SPRINGS,Elementary School,ELEM,129,,PECAN SPRINGS ES.svg,,,,
PEREZ,Elementary School,ELEM,190,,PEREZ ES.svg,,,,
PICKLE,Elementary School,ELEM,164,,PICKLE ES.svg,,,,
PILLOW,Elementary School,ELEM,151,,PILLOW ES.svg,,,,
PLEASANT HILL,Elementary School,ELEM,130,,PLEASANT HILL ES.svg,,,,
REILLY,Elementary School,ELEM,132,,REILLY ES.svg,,,,
RICHARDS SYWL,High School,HIGH,028,,RICHARDS SYWL HS.svg,,,,
RIDGETOP,Elementary School,ELEM,133,,RIDGETOP ES.svg,,,,
RODRIGUEZ,Elementary School,ELEM,174,,RODRIGUEZ ES.svg,,,,
ROSEDALE,Alternative Education,ALT ED 1,251,,ROSEDALE ALT.svg,,,,
SADLER MEANS,Middle School,MID,065,,SADLER MEANS MS.svg,,,,
SAEGERT BUS,District Facility,DISTRICT,960,,SAEGERT BUS DIST.svg,,,,
SANCHEZ,Elementary School,ELEM,127,,SANCHEZ ES.svg,,,,
SERVICE CENTER,District Facility,DISTRICT,962,,SERVICE CENTER DIST.svg,,,,
SITE 903,District Facility,DISTRICT,903,,SITE 903 DIST.svg,,,,
SITE 905,District Facility,DISTRICT,905,,SITE 905 DIST.svg,,,,
SITE 906,District Facility,DISTRICT,906,,SITE 906 DIST.svg,,,,
SITE 907,District Facility,DISTRICT,907,,SITE 907 DIST.svg,,,,
SITE 908,District Facility,DISTRICT,908,,SITE 908 DIST.svg,,,,
SMALL,Middle School,MID,060,,SMALL MS.svg,,,,
SOUTHEAST BUS,District Facility,DISTRICT,955,,SOUTHEAST BUS DIST.svg,,,,
ST ELMO,Elementary School,ELEM,136,,ST ELMO ES.svg,,,,
SUMMITT,Elementary School,ELEM,138,,SUMMITT ES.svg,,,,
SUNSET VALLEY,Elementary School,ELEM,158,,SUNSET VALLEY ES.svg,,,,
TRAVIS,High School,HIGH,007,,TRAVIS HS.svg,,,,
TRAVIS GPA,Alternative Education,ALT ED 1,023,,TRAVIS GPA ALT.svg,,,,
TRAVIS HEIGHTS,Elementary School,ELEM,140,,TRAVIS HEIGHTS ES.svg,,,,
UPHAUS,Elementary School,ELEM,177,,UPHAUS ES.svg,,,,
WALNUT CREEK,Elementary School,ELEM,141,,WALNUT CREEK ES.svg,,,,
WEBB,Middle School,MID,053,,WEBB MS.svg,,,,
WIDEN,Elementary School,ELEM,175,,WIDEN ES.svg,,,,
WILLIAMS,Elementary School,ELEM,166,,WILLIAMS ES.svg,,,,
WINN,Elementary School,ELEM,157,,WINN ES.svg,,,,
WOOLDRIDGE,Elementary School,ELEM,152,,WOOLDRIDGE ES.svg,,,,
WOOTEN,Elementary School,ELEM,144,,WOOTEN ES.svg,,,,
ZAVALA,Elementary School,ELEM,145,,ZAVALA ES.svg,,,,
ZILKER,Elementary School,ELEM,146,,ZILKER ES L1.svg,,,,,ZILKER ES LM.svg
