school_name,school_level,class_code,campus_id,address,city,state,zip,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,uploaded,source_file,notes,longitude,latitude,in_survey_dropdown
CLAYTON,Elementary School,ELEM,184,7525 LA CROSSE AVE.,AUSTIN,TX,78739,,CLAYTON ES.svg,,,,,,,,-97.90644441099994,30.19484947600006,yes
CLIFTON,Alternative Education,ALT ED 1,852,1519 CORONADO HILLS DRIVE,AUSTIN,TX,78752,,CLIFTON ALT.svg,,,,,,,,-97.68733759396125,30.326336091703794,yes
COOK,Elementary School,ELEM,161,1511 CRIPPLE CREEK DRIVE,AUSTIN,TX,78758,,COOK ES.svg,,,,,,,,-97.70466530199997,30.37785441500006,yes
COVINGTON,Middle School,MID,057,3700 CONVICT HILL ROAD,AUSTIN,TX,78749,,COVINGTON MS.svg,,,,,,,,-97.83455179799995,30.21256740100006,yes
COWAN,Elementary School,ELEM,183,2817 KENTISH DRIVE,AUSTIN,TX,78748,,COWAN ES.svg,,,,,,,,-97.83343468799995,30.188683986000054,yes
CROCKETT,High School,HIGH,008,5601 MENCHACA ROAD,AUSTIN,TX,78745,,CROCKETT HS.svg,,,,,,,,-97.79696657499994,30.213921697000046,yes
CUNNINGHAM,Elementary School,ELEM,113,2200 BERKELEY AVE.,AUSTIN,TX,78745,,CUNNINGHAM ES.svg,,,,,,,,-97.80597482499996,30.21028497300006,yes
DAEP,Alternative Education,ALT ED 1,115,906 W MILTON STREET,AUSTIN,TX,78704,,DAEP ALT.svg,,,,,,,,-97.76006636999995,30.250788101000072,yes
DAVIS,Elementary School,ELEM,179,5214 DUVAL ROAD,AUSTIN,TX,78727,,DAVIS ES.svg,,,,,,,,-97.74134242799994,30.41861924000006,yes
DAWSON,Elementary School,ELEM,114,3001 S. 1ST STREET,AUSTIN,TX,78704,,DAWSON ES.svg,,,,,,,,-97.76359923799998,30.23409714400003,yes
DELCO CENTER,Athletic Facility,ATHLETIC,949,4601 PECAN BROOK DRIVE,AUSTIN,TX,78701,,DELCO CENTER ATH.svg,,,,,,,,-97.66044006084452,30.317560125673836,yes
DOBIE,Middle School,MID,055,1200 E. RUNDBERG LANE,AUSTIN,TX,78753,,DOBIE MS.svg,,,,,,,,-97.68036350599999,30.354264267000076,yes
DOSS,Elementary School,ELEM,154,7005 NORTHLEDGE DRIVE,AUSTIN,TX,78731,,DOSS ES.svg,,,,,,,,-97.76233307999996,30.35645401300008,yes
EASTSIDE ECHS,High School,HIGH,142,900 THOMPSON STREET,AUSTIN,TX,78702,,EASTSIDE ECHS HS.svg,,,,,,,,-97.709058418,30.269746816000062,yes
GALINDO,Elementary School,ELEM,176,3800 S. 2ND STREET,AUSTIN,TX,78704,,GALINDO ES.svg,,,,,,,,-97.77181160899994,30.22952440900008,yes
GARCIA,Middle School,MID,064,7414 JOHNNY MORRIS ROAD,AUSTIN,TX,78724,,GARCIA MS.svg,,,,,,,,-97.64275444699996,30.311463771000035,yes
GARZA,High School,HIGH,015,1600 CHICON STREET,AUSTIN,TX,78702,,GARZA HS.svg,,,,,,,,-97.72100290899999,30.277438907000032,yes
GORZYCKI,Middle School,MID,062,7412 W. SLAUGHTER LANE,AUSTIN,TX,78749,,GORZYCKI MS.svg,,,,,,,,-97.89184827699995,30.214311899000055,yes
GOVALLE,Elementary School,ELEM,116,3601 GOVALLE AVE.,AUSTIN,TX,78702,,GOVALLE ES.svg,,,,,,,,-97.69858649099996,30.264157230000023,yes
GRAHAM,Elementary School,ELEM,159,11211 TOM ADAMS DRIVE,AUSTIN,TX,78753,,GRAHAM ES.svg,,,,,,,,-97.66889682599998,30.372354104000067,yes
