school_name,school_level,class_code,campus_id,address,city,state,zip,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,uploaded,source_file,notes
GARCIA,Middle School,MID,064,7414 JOHNNY MORRIS ROAD,AUSTIN,TX,78724,,GARCIA MS.svg,,,,,,,
GARZA,High School,HIGH,015,1600 CHICON STREET,AUSTIN,TX,78702,,GARZA HS.svg,,,,,,,
GORZYCKI,Middle School,MID,062,7412 W. SLAUGHTER LANE,AUSTIN,TX,78749,,GORZYCKI MS.svg,,,,,,,
GOVALLE,Elementary School,ELEM,116,3601 GOVALLE AVE.,AUSTIN,TX,78702,,GOVALLE ES.svg,,,,,,,
GRAHAM,Elementary School,ELEM,159,11211 TOM ADAMS DRIVE,AUSTIN,TX,78753,,GRAHAM ES.svg,,,,,,,
GUERRERO THOMPSON,Elementary School,ELEM,186,102 E. RUNDBERG LANE,AUSTIN,TX,78753,,GUERRERO THOMPSON ES.svg,,,,,,,
GULLETT,Elementary School,ELEM,117,6310 TREADWELL BLVD.,AUSTIN,TX,78757,,GULLETT ES.svg,,,,,,,
HARRIS,Elementary School,ELEM,118,1711 WHELESS LANE,AUSTIN,TX,78723,,HARRIS ES.svg,,,,,,,
HART,Elementary School,ELEM,163,8301 FURNESS STREET,AUSTIN,TX,78753,,HART ES.svg,,,,,,,
HIGHLAND PARK,Elementary School,ELEM,119,4900 FAIRVIEW DRIVE,AUSTIN,TX,78731,,HIGHLAND PARK ES.svg,,,,,,,
HILL,Elementary School,ELEM,155,8601 TALLWOOD DRIVE,AUSTIN,TX,78759,,HILL ES.svg,,,,,,,
HOUSE PARK,Athletic Facility,ATHLETIC,280,1301 SHOAL CREEK BLVD,AUSTIN,TX,78701,,HOUSE PARK ATH.svg,,,,,,,
HOUSTON,Elementary School,ELEM,162,5409 PONCIANA DRIVE,AUSTIN,TX,78744,,HOUSTON ES.svg,,,,,,,
JORDAN,Elementary School,ELEM,178,6711 JOHNNY MORRIS ROAD,AUSTIN,TX,78724,,JORDAN ES.svg,,,,,,,
JOSLIN,Elementary School,ELEM,198,4500 MENCHACA ROAD,AUSTIN,TX,78745,,JOSLIN ES.svg,,,,,,,
KEALING,Middle School,MID,044,1607 PENNSYLVANIA AVE.,AUSTIN,TX,78702,,KEALING MS.svg,,,,,,,
KIKER,Elementary School,ELEM,180,5913 LA CROSSE AVE.,AUSTIN,TX,78739,,KIKER ES.svg,,,,,,,
KOCUREK,Elementary School,ELEM,172,9800 CURLEW DRIVE,AUSTIN,TX,78748,,KOCUREK ES.svg,,,,,,,
LAMAR,Middle School,MID,045,6201 WYNONA STREET,AUSTIN,TX,78757,,LAMAR MS.svg,,,,,,,
LANGFORD,Elementary School,ELEM,168,2206 BLUE MEADOW DRIVE,AUSTIN,TX,78744,,LANGFORD ES.svg,,,,,,,
LASA,High School,HIGH,019,1012 ARTHUR STILES ROAD,AUSTIN,TX,78721,,LASA HS.svg,,,,,,,
LBJ,High School,HIGH,014,7309 LAZY CREEK DRIVE,AUSTIN,TX,78724,,LBJ HS.svg,,,,,,,
LEE,Elementary School,ELEM,121,3308 HAMPTON ROAD,AUSTIN,TX,78705,,LEE ES.svg,,,,,,,
LINDER,Elementary School,ELEM,160,2800 METCALFE ROAD,AUSTIN,TX,78741,,LINDER ES.svg,,,,,,,
LIVELY,Middle School,MID,043,201 E. MARY STREET,AUSTIN,TX,78704,,LIVELY MS.svg,,,,,,,
MAPLEWOOD,Elementary School,ELEM,122,3808 MAPLEWOOD AVE.,AUSTIN,TX,78722,,MAPLEWOOD ES.svg,,,,,,,
MARSHALL,Middle School,MID,0,,AUSTIN,TX,,,MARSHALL MS.svg,,,,,,,
MARTIN,Middle School,MID,051,1601 HASKELL STREET,AUSTIN,TX,78702,,MARTIN MS.svg,,,,,,,
MATHEWS,Elementary School,ELEM,123,906 WEST LYNN STREET,AUSTIN,TX,78703,,MATHEWS ES.svg,,,,,,,
MCBEE,Elementary School,ELEM,165,1001 WEST BRAKER,AUSTIN,TX,78758,,MCBEE ES.svg,,,,,,,
MCCALLUM,High School,HIGH,005,5600 SUNSHINE DRIVE,AUSTIN,TX,78756,,MCCALLUM HS.svg,,,,,,,
MENCHACA,Elementary School,ELEM,147,12120 MENCHACA ROAD,AUSTIN,TX,78748,,MENCHACA ES.svg,,,,,,,
MENDEZ,Middle School,MID,058,5106 VILLAGE SQUARE DRIVE,AUSTIN,TX,78744,,MENDEZ MS.svg,,,,,,,
MILLS,Elementary School,ELEM,181,6201 DAVIS LANE,AUSTIN,TX,78749,,MILLS ES.svg,,,,,,,
MURCHISON,Middle School,MID,052,3700 N HILLS DRIVE,AUSTIN,TX,78731,,MURCHISON MS.svg,,,,,,,
NAVARRO,High School,HIGH,004,1201 PAYTON GIN ROAD,AUSTIN,TX,78758,,NAVARRO HS.svg,,,,,,,
NAVARRO GPA,Alternative Education,ALT ED 1,026,1201 PAYTON GIN ROAD,AUSTIN,TX,78758,,NAVARRO GPA ALT.svg,,,,,,,
NELSON BUS,District Facility,DISTRICT,959,7105 BERKMAN DRIVE,AUSTIN,TX,78752,,NELSON BUS DIST.svg,,,,,,,
NELSON FIELD,Athletic Facility,ATHLETIC,281,7105 BERKMAN DRIVE,AUSTIN,TX,78752,,NELSON FIELD ATH.svg,,,,,,,
NOACK SPORTS,Athletic Facility,ATHLETIC,950,5300 CRAINWAY DRIVE,AUSTIN,TX,78724,,NOACK SPORTS ATH.svg,,,,,,,
NORMAN-SIMS,Elementary School,ELEM,150,4001 TANNEHILL LANE,AUSTIN,TX,78721,,NORMAN-SIMS ES.svg,,,,,,,
NORTHEAST/INTERNATIONAL,High School,HIGH,006,7104 BERKMAN DRIVE,AUSTIN,TX,78752,,NORTHEAST/INTERNATIONAL HS.svg,,,,,,,
O HENRY,Middle School,MID,047,2610 W. 10TH STREET,AUSTIN,TX,78735,,O HENRY MS.svg,,,,,,,
OAK HILL,Elementary School,ELEM,148,6101 PATTON RANCH ROAD,AUSTIN,TX,78735,,OAK HILL ES.svg,,,,,,,
OAK SPRINGS,Elementary School,ELEM,125,3601 WEBBERVILLE ROAD,AUSTIN,TX,78702,,OAK SPRINGS ES.svg,,,,,,,
ODOM,Elementary School,ELEM,156,1010 TURTLE CREEK BLVD.,AUSTIN,TX,78745,,ODOM ES.svg,,,,,,,
ORTEGA,Elementary School,ELEM,126,1135 GARLAND AVE.,AUSTIN,TX,78721,,ORTEGA ES.svg,,,,,,,
OVERTON,Elementary School,ELEM,189,7201 COLONY LOOP DRIVE,AUSTIN,TX,78724,,OVERTON ES.svg,,,,,,,
PAC,District Facility,DISTRICT,954,1500 BARBARA JORDAN BLVD,AUSTIN,TX,78723,,PAC DIST.svg,,,,,,,
PADRON,Elementary School,ELEM,188,2011 W. RUNDBERG LANE,AUSTIN,TX,78758,,PADRON ES L1.svg,PADRON ES L2.svg,,,,,
PALM,Elementary School,ELEM,171,7601 DIXIE DRIVE,AUSTIN,TX,78744,,PALM ES.svg,,,,,,,
PAREDES,Middle School,MID,061,10100 S. MARY MOORE SEARIGHT DRIVE,AUSTIN,TX,78748,,PAREDES MS.svg,,,,,,,
PATTON,Elementary School,ELEM,143,6001 WESTCREEK DRIVE,AUSTIN,TX,78749,,PATTON ES.svg,,,,,,,
PECAN SPRINGS,Elementary School,ELEM,129,3100 ROGGE LANE,AUSTIN,TX,78723,,PECAN SPRINGS ES.svg,,,,,,,
PEREZ,Elementary School,ELEM,190,7500 S. PLEASANT VALLEY ROAD,AUSTIN,TX,78744,,PEREZ ES.svg,,,,,,,
